canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,classification,notes
lead_created,Lead Created,event,M1,InternalEventName and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,yes,current,medium,high,database event,"Maps to Meta Lead; historical lifecycle event, not GHL field/tag."
lead_normalized,Lead Normalized,event,M1,InternalEventName and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,maybe,current,medium,medium,database event,"Maps to Meta Lead; no specific route beyond lifecycle payload."
contact_updated,Contact Updated,event,M1,InternalEventName and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,maybe,current,medium,medium,database event,"Maps to Meta Contact."
first_response,First Response,event,M1,InternalEventName and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,maybe,current,medium,medium,database event,"Maps to Meta Contact; GHL workflow inventory needed."
appointment_set,Appointment Set,event,M2,InternalEventName event map debug route,packages/shared/src/types.ts;packages/shared/src/event-map.ts;apps/api/src/routes/webhook.ts,existing,repo,yes,current,medium,high,database event,"Maps to Meta Schedule; not appointment_status field."
appointment_showed,Appointment Showed,event,M2,InternalEventName and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,maybe,current,medium,medium,database event,"Maps to Meta QualifiedLead."
sale_logged,Sale Logged,event,M2,InternalEventName event map Figma mock,packages/shared/src/types.ts;packages/shared/src/event-map.ts;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,existing,repo,yes,current,medium,high,database event,"Maps to Meta Purchase; policy_status should own current state."
policy_issued,Policy Issued,event,M2,user requested event inventory,no direct repo source,missing_inventory,GHL,maybe,proposed,medium,medium,GHL workflow trigger,"Not in InternalEventName; requires schema/product decision before use."
known_caller,Known Caller,event,Voice,Synthflow response/log concept,apps/api/src/services/synthflow-inbound-lookup.service.ts;apps/api/src/services/admin-metrics.service.ts,existing,repo,yes,current,medium,medium,UI signal/database log,"Stored as SynthflowRequestLog.knownCaller; not lifecycle event."
unknown_caller,Unknown Caller,event,Voice,Figma mock and knownCaller=false metrics,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/api/src/services/admin-metrics.service.ts,existing,repo,yes,current,medium,medium,UI signal/database log,"Derived from knownCaller=false/not_found; route to review only if needed."
lookup_error,Lookup Error,event,Voice,Synthflow service/admin badges,apps/api/src/services/synthflow-inbound-lookup.service.ts;apps/admin-coc/src/lib/synthflow-monitor-badges.ts,existing,repo,yes,current,medium,medium,database log signal,"processingStatus/lookupStatus value; not a GHL custom field."
webhook_validation_failed,Webhook Validation Failed,event,Admin,webhook route/admin summary,apps/api/src/routes/webhook.ts;apps/api/src/services/admin-metrics.service.ts,existing,repo,yes,current,medium,medium,database log signal,"Implemented as WebhookRequestLog.processingStatus=validation_failed; name is conceptual."
meta_dispatch_sent,Meta Dispatch Sent,event,Meta,worker success log,apps/worker/src/processors/meta-dispatch.processor.ts,existing,repo,yes,current,low,medium,Meta event/database log,"Actual log stage worker.meta.dispatch.success and MetaDispatchAttempt.success=true."
meta_dispatch_skipped,Meta Dispatch Skipped,event,Meta,worker skip/API enqueue skip,apps/worker/src/processors/meta-dispatch.processor.ts;apps/api/src/routes/webhook.ts,existing,repo,yes,current,medium,medium,Meta event/database log,"Actual stages worker.meta.skipped_disabled and webhook finalStatus skipped."
meta_dispatch_failed,Meta Dispatch Failed,event,Meta,worker failed log,apps/worker/src/processors/meta-dispatch.processor.ts,existing,repo,yes,current,low,medium,Meta event/database log,"Actual stage worker.meta.dispatch.failed and FailedDispatch/attempt rows."
inbound_lookup_received,Synthflow Inbound Lookup Received,event,Voice,Synthflow request log source,prisma/schema.prisma;apps/api/src/routes/voice.ts,existing,repo,yes,current,low,low,database log signal,"Request-level log via SynthflowRequestLog."
