canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,notes
client_account_id,Client Account ID,payload_field,GHL,lifecycle webhook schema,packages/shared/src/types.ts;apps/api/src/schemas/lifecycle-event.schema.ts,existing,repo,yes,current,medium,medium,"Tenant identifier in payloads and DB camelCase clientAccountId; verify GHL source field/location mapping before creating custom field."
clientAccountId,Client Account ID,field,SA360_DB,Prisma models,prisma/schema.prisma,existing,SA360_DB,yes,current,medium,medium,"DB column across ClientConfig LifecycleEvent WebhookRequestLog SynthflowRequestLog SynthflowOutboundResultLog InboundContactIndex."
subaccount_id_ghl,GHL Subaccount ID,payload_field,GHL,lifecycle and Synthflow payload schemas,packages/shared/src/types.ts;apps/api/src/schemas/lifecycle-event.schema.ts;apps/api/src/schemas/synthflow-outbound-context.schema.ts,existing,repo,yes,current,medium,medium,"Payload field mirrors DB subaccountIdGhl; live GHL location ID inventory needed."
subaccountIdGhl,GHL Subaccount ID,field,SA360_DB,Prisma models and admin filters,prisma/schema.prisma;apps/api/src/routes/admin.ts,existing,SA360_DB,yes,current,medium,medium,"DB query/filter field; do not create another routing/location status field."
lead_uid,Lead UID,payload_field,GHL,lifecycle and outbound context schemas,packages/shared/src/types.ts;apps/api/src/schemas/synthflow-outbound-context.schema.ts,existing,repo,yes,current,medium,medium,"Canonical cross-system lead identity; should be one GHL custom field if GHL does not already provide it."
leadUid,Lead UID,field,SA360_DB,Prisma models,prisma/schema.prisma,existing,SA360_DB,yes,current,medium,low,"Stored in LeadAttribution LifecycleEvent and InboundContactIndex."
contact_id_ghl,GHL Contact ID,payload_field,GHL,lifecycle and voice payload schemas,packages/shared/src/types.ts;apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,low,low,"Native GHL contact ID passed through payloads; avoid duplicating as human-maintained field."
contactIdGhl,GHL Contact ID,field,SA360_DB,Prisma and admin types,prisma/schema.prisma;apps/admin-coc/src/lib/admin-api/types.ts,existing,SA360_DB,yes,current,low,low,"Durable DB mirror for joins and display."
phone_e164,Phone E.164,payload_field,GHL,lifecycle payload schema,packages/shared/src/types.ts,existing,repo,yes,current,medium,medium,"Canonical normalized phone input; GHL may use native phone plus custom field; inventory needed."
phoneE164,Phone E.164,field,SA360_DB,InboundContactIndex and SynthflowRequestLog,prisma/schema.prisma,existing,SA360_DB,yes,current,medium,medium,"Lookup key; do not create parallel caller_phone/routing phone state unless workflow requires payload-only variables."
phone,Raw Phone,payload_field,GHL,lifecycle fallback schema,packages/shared/src/types.ts;apps/api/src/schemas/lifecycle-event.schema.ts,existing,repo,yes,current,medium,medium,"Fallback only; normalized phoneE164 is canonical for lookup."
phone_digits,Phone Digits,payload_field,GHL,lifecycle fallback schema,packages/shared/src/types.ts;apps/api/src/schemas/lifecycle-event.schema.ts,existing,repo,maybe,current,medium,medium,"Fallback only; do not make this a separate source of truth."
first_name,First Name,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,yes,current,low,low,"Contact identity; likely native GHL field."
last_name,Last Name,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,yes,current,low,low,"Contact identity; likely native GHL field."
email,Email,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,yes,current,low,low,"Contact identity; likely native GHL field."
city,City,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,maybe,current,low,low,"Contact address field; likely native GHL field."
state,State,payload_field,GHL,lifecycle and Synthflow response,packages/shared/src/types.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,existing,GHL,yes,current,low,low,"Current contact state; also passed to Synthflow custom variables."
zip,ZIP,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,maybe,current,low,low,"Contact address field; likely native GHL field."
country,Country,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,maybe,current,low,low,"Contact address field; likely native GHL field."
date_of_birth,Date of Birth,payload_field,GHL,lifecycle contact schema,packages/shared/src/types.ts,existing,GHL,maybe,current,low,medium,"PII; only create/store if required and redaction rules are agreed."
source_platform,Source Platform,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,yes,current,medium,low,"Attribution field stored in LeadAttribution."
source_type,Source Type,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,medium,low,"Attribution field stored in LeadAttribution."
campaign_id,Campaign ID,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,yes,current,low,low,"Attribution field stored in LeadAttribution and Meta custom_data."
campaign_name,Campaign Name,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Attribution field stored in LeadAttribution."
adset_id,Ad Set ID,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Attribution field stored in LeadAttribution."
adset_name,Ad Set Name,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Attribution field stored in LeadAttribution."
ad_id,Ad ID,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,yes,current,low,low,"Attribution field stored in LeadAttribution and Meta custom_data."
ad_name,Ad Name,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Attribution field stored in LeadAttribution."
fbclid,FBCLID,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,yes,current,low,low,"Used for Meta fbc user data; should remain attribution not tag."
utm_source,UTM Source,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,yes,current,low,low,"Stored attribution field."
utm_medium,UTM Medium,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Stored attribution field."
utm_campaign,UTM Campaign,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Stored attribution field."
utm_content,UTM Content,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Stored attribution field."
utm_term,UTM Term,payload_field,Meta,lifecycle attribution schema,packages/shared/src/types.ts,existing,repo,maybe,current,low,low,"Stored attribution field."
meta_pixel_id,Meta Pixel ID,payload_field,Meta,lifecycle attribution schema and ClientConfig,packages/shared/src/types.ts;prisma/schema.prisma,existing,SA360_DB,maybe,current,medium,medium,"ClientConfig has metaPixelId; payload may carry override/source value. Avoid GHL duplicate unless workflow needs read access."
meta_dataset_id,Meta Dataset ID,payload_field,Meta,lifecycle attribution schema and ClientConfig,packages/shared/src/types.ts;prisma/schema.prisma,existing,SA360_DB,yes,current,medium,medium,"ClientConfig fallback plus routing dataset fields; inventory names before creating custom values."
meta_access_token,Meta Access Token,field,Security,ClientConfig,prisma/schema.prisma,existing,SA360_DB,yes,current,low,high,"Secret DB config; never GHL custom field or custom value."
meta_sync_enabled,Meta Sync Enabled,field,Meta,ClientConfig and env flag,prisma/schema.prisma;apps/api/src/lib/meta-sync-enabled.ts,existing,SA360_DB,yes,current,medium,medium,"Per-client DB flag and global env gate exist; UI mock flag names need review."
default_currency,Default Currency,field,Meta,ClientConfig,prisma/schema.prisma,existing,SA360_DB,maybe,current,low,low,"DB-owned client config."
lead_type,Lead Type,payload_field,GHL,lifecycle state schema and Synthflow variables,packages/shared/src/types.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,existing,GHL,yes,current,medium,medium,"Current lead classification; controlled field, not carrier/status tag."
lifecycle_stage,Lifecycle Stage,payload_field,GHL,lifecycle state schema and index,packages/shared/src/types.ts;prisma/schema.prisma,existing,GHL,yes,current,high,high,"Canonical current-stage field; do not duplicate as lifecycle/status tags or alternate stage fields."
lead_status,Lead Status,payload_field,GHL,lifecycle state schema,packages/shared/src/types.ts,existing,GHL,maybe,current,high,medium,"Potential overlap with lifecycle_stage; needs GHL inventory and controlled vocabulary."
appointment_status,Appointment Status,payload_field,GHL,lifecycle state schema and index,packages/shared/src/types.ts;prisma/schema.prisma,existing,GHL,yes,current,high,high,"Canonical appointment current state; do not create appointment status tags."
agent_disposition,Agent Disposition,payload_field,GHL,lifecycle state schema,packages/shared/src/types.ts,existing,GHL,maybe,current,medium,medium,"Current disposition field; controlled vocabulary needed."
policy_status,Policy Status,payload_field,GHL,lifecycle state schema and index,packages/shared/src/types.ts;prisma/schema.prisma,existing,GHL,yes,current,high,high,"Canonical policy current state; do not create policy status tags."
ai_status,AI Status,payload_field,Voice,lifecycle state schema,packages/shared/src/types.ts,existing,GHL,maybe,current,high,medium,"Could overlap with voice workflow flags; review before creation."
routing_status,Routing Status,payload_field,GHL,lifecycle state schema,packages/shared/src/types.ts,existing,GHL,maybe,current,high,high,"Canonical routing current state if used; do not duplicate as routing tags."
dead_lead_flag,Dead Lead Flag,payload_field,GHL,lifecycle state schema,packages/shared/src/types.ts,existing,GHL,maybe,current,medium,medium,"Boolean current state; tag may trigger workflow but field should own truth."
event_uuid,Event UUID,payload_field,Worker,lifecycle event schema,packages/shared/src/types.ts;prisma/schema.prisma,existing,SA360_DB,yes,current,low,medium,"Event identity; never create as GHL contact current-state custom field."
event_name_internal,Internal Event Name,payload_field,Worker,lifecycle event schema and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,yes,current,medium,high,"Historical event concept; do not create GHL custom field except transient webhook payload."
event_name_meta,Meta Event Name,payload_field,Meta,lifecycle event schema and event map,packages/shared/src/types.ts;packages/shared/src/event-map.ts,existing,repo,yes,current,medium,medium,"Meta event mapping; database event payload not GHL state."
event_time_unix,Event Time Unix,payload_field,Worker,lifecycle event schema,packages/shared/src/types.ts,existing,repo,yes,current,low,medium,"Historical event timestamp; not GHL contact field."
value_score,Value Score,payload_field,Meta,lifecycle event schema,packages/shared/src/types.ts,existing,repo,maybe,current,medium,medium,"Event value for Meta; should not become mutable contact state unless business score is separately defined."
currency,Currency,payload_field,Meta,lifecycle event schema and ClientConfig,packages/shared/src/types.ts;prisma/schema.prisma,existing,repo,maybe,current,medium,medium,"Event currency plus ClientConfig defaultCurrency."
send_to_meta,Send To Meta,payload_field,Meta,lifecycle event schema and worker gate,packages/shared/src/types.ts;apps/worker/src/processors/meta-dispatch.processor.ts,existing,repo,yes,current,medium,medium,"Event-level dispatch request; separate from global/per-client meta sync flag."
assigned_agent_id,Assigned Agent ID,payload_field,GHL,lifecycle ownership and InboundContactIndex,packages/shared/src/types.ts;prisma/schema.prisma,existing,GHL,yes,current,medium,medium,"Current owner field; may drive outbound calendar map."
assigned_agent_name,Assigned Agent Name,payload_field,GHL,lifecycle ownership and Synthflow variables,packages/shared/src/types.ts;prisma/schema.prisma,existing,GHL,yes,current,medium,low,"Current owner display."
updated_by,Updated By,payload_field,GHL,lifecycle ownership schema,packages/shared/src/types.ts,existing,GHL,maybe,current,low,medium,"Payload audit field; not contact truth unless GHL owns it."
niche_key,Niche Key,payload_field,GHL,lifecycle routing schema and M1A logs,packages/shared/src/types.ts;packages/shared/src/m1a-log-fields.ts,existing,GHL,maybe,current,medium,medium,"Routing classification; controlled field preferred over tags."
source_dataset_id,Source Dataset ID,payload_field,Meta,lifecycle routing schema,packages/shared/src/types.ts,existing,repo,maybe,current,medium,medium,"Meta routing/config input; not a tag."
