canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,purpose,inputs,outputs,fields_tags_reads,fields_tags_writes,related_api_event_payload,duplicate_responsibility_risk,notes
M1A,GHL Lifecycle Webhook Intake,workflow,M1,API route and logs,apps/api/src/routes/webhook.ts;packages/shared/src/m1a-log-fields.ts,existing,repo,yes,current,medium,medium,"Receive normalized GHL lifecycle events store event upsert attribution/contact index and enqueue Meta dispatch","LifecycleWebhookPayload with contact attribution state event ownership routing","LifecycleEvent LeadAttribution InboundContactIndex WebhookRequestLog BullMQ job","client_account_id subaccount_id_ghl lead_uid contact_id_ghl phone_e164 lifecycle_stage appointment_status policy_status send_to_meta","LifecycleEvent.status WebhookRequestLog.processingStatus LeadAttribution InboundContactIndex","POST /webhooks/ghl/lifecycle-event; event_name_internal","Medium: GHL workflows may also stamp lifecycle fields; repo should own event ledger","Primary repo-backed intake workflow."
M1B,Lead Normalization / First Response,workflow,M1,event map and Figma timeline,packages/shared/src/event-map.ts;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,manual_plan,maybe,proposed,high,medium,"Normalize lead/contact and possibly first response flow","GHL contact create/update and source fields","lead_normalized first_response events or GHL workflow actions","lead_uid phone_e164 lead_type lifecycle_stage source_platform","lifecycle_stage lead_status first_response event if implemented","Internal events lead_normalized first_response","High: may duplicate GHL workflow and lifecycle webhook semantics","No concrete repo route beyond event names."
M1C,Attribution Upsert / Contact Index Refresh,workflow,M1,services and Figma timeline,apps/api/src/services/event-service.ts;apps/api/src/services/inbound-contact-index.service.ts;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,existing,repo,yes,current,medium,medium,"Upsert LeadAttribution and InboundContactIndex from lifecycle payload including duplicate refresh","Validated LifecycleWebhookPayload","LeadAttribution row InboundContactIndex row m1a.attribution.upserted log","lead_uid contact_id_ghl phone_e164 attribution fields lifecycle fields","LeadAttribution InboundContactIndex","m1a.attribution.upserted m1a.contact_index.upserted","Medium: should stay internal sub-step of M1A not a separate GHL workflow unless live GHL requires it","Implemented as service logic."
M2A,Appointment Set Lifecycle,workflow,M2,event map and debug payload,packages/shared/src/event-map.ts;apps/api/src/routes/webhook.ts,needs_review,GHL,yes,current,high,high,"Capture appointment_set as lifecycle event and update current appointment state","GHL appointment/event payload","LifecycleEvent appointment_set Meta Schedule event InboundContactIndex appointmentStatus","appointment_status lifecycle_stage contact_id_ghl lead_uid","appointment_status lifecycle_stage event_name_internal","event_name_internal=appointment_set event_name_meta=Schedule","High: appointment_status field must not be duplicated by tags/workflows","Live GHL workflow inventory required."
M2B,Appointment Showed Lifecycle,workflow,M2,event map,packages/shared/src/event-map.ts,needs_review,GHL,maybe,current,high,medium,"Capture appointment_showed as lifecycle event and Meta QualifiedLead","GHL appointment outcome/status","LifecycleEvent appointment_showed Meta dispatch","appointment_status lifecycle_stage policy_status","appointment_status lifecycle_stage event_name_internal","event_name_internal=appointment_showed event_name_meta=QualifiedLead","Medium: may overlap appointment_status/current stage","No direct route specialization; generic lifecycle payload supports it."
M2C,Sale Logged Lifecycle,workflow,M2,event map and Figma mock data,packages/shared/src/event-map.ts;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,GHL,yes,current,high,high,"Capture sale_logged as historical conversion event","GHL opportunity/sale payload","LifecycleEvent sale_logged Meta Purchase event","policy_status lifecycle_stage value_score currency","policy_status lifecycle_stage event_name_internal","event_name_internal=sale_logged event_name_meta=Purchase","High: sale_logged event must not become policy_status tag","Live GHL opportunity pipeline/stages required."
M2D,Policy Issued Lifecycle,workflow,M2,user requested event inventory,no direct repo source,missing_inventory,GHL,maybe,proposed,high,medium,"Potential policy-issued conversion milestone","GHL policy status/opportunity stage","Possibly LifecycleEvent if event name added later","policy_status lifecycle_stage","policy_status event row if implemented","policy_issued requested but not in InternalEventName","High: not currently supported by shared InternalEventName","Needs product and schema decision before creation."
M2E,Retention / Post-Sale Lifecycle,workflow,M2,user requested module inventory,no direct repo source,missing_inventory,GHL,maybe,proposed,medium,medium,"Potential post-sale workflow","GHL policy/client state","Unknown","policy_status client_status lifecycle_stage","Unknown","Unknown","Medium: undefined responsibility","Needs live GHL and product spec."
M2FT-BLUE,Fast Track Blue,workflow,Launch,user requested workflow inventory and Figma flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,high,medium,"Roadmap/launch path controlled by blue flag","Unknown","Unknown","BLUE_ENABLED maybe client flags","Unknown","Unknown","High: no repo feature flag or DB model","Do not create until launch plan defines source of truth."
M2FT-GREEN,Fast Track Green,workflow,Launch,user requested workflow inventory and Figma flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,high,medium,"Roadmap/launch path controlled by green flag","Unknown","Unknown","GREEN_ENABLED maybe client flags","Unknown","Unknown","High: no repo feature flag or DB model","Do not create until launch plan defines source of truth."
