canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,notes
SA360::SYSTEM::KNOWN_CALLER,Known Caller,tag,Voice,Figma mock/status vocabulary,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,do_not_create,repo,no,proposed,high,high,"known_caller is a response/log field; tag would duplicate current lookup signal."
SA360::SYSTEM::UNKNOWN_CALLER,Unknown Caller,tag,Voice,Figma mock/status vocabulary,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,do_not_create,repo,no,proposed,high,high,"unknown caller is a request outcome; route to Review Queue/event, not persistent tag."
SA360::REVIEW::PENDING_ADMIN,Pending Admin Review,tag,Admin,Figma generated primitives,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/primitives.tsx,needs_review,manual_plan,maybe,proposed,medium,medium,"Could be a workflow trigger tag only if GHL must filter review contacts; DB ReviewItem is not implemented."
SA360::ERROR::INVALID_TOKEN,Invalid Token,tag,Meta,Figma generated primitives and mock data,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/primitives.tsx;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,repo,no,proposed,high,high,"Meta dispatch errors belong in MetaDispatchAttempt/FailedDispatch/review, not contact tags."
SA360::ERROR::DOWNSTREAM_TIMEOUT,Downstream Timeout,tag,Worker,Figma generated primitives/mock data,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/primitives.tsx;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,repo,no,proposed,high,high,"Historical processing error should be event/review data."
SA360::ERROR::LOOKUP_ERROR,Lookup Error,tag,Voice,admin badges and Synthflow service,apps/admin-coc/src/lib/synthflow-monitor-badges.ts;apps/api/src/services/synthflow-inbound-lookup.service.ts,do_not_create,repo,no,current,high,high,"lookup_error is processingStatus/lookupStatus; tag would create duplicate source of truth."
SA360::M1::ATTRIBUTION_UPSERTED,Attribution Upserted,tag,M1,Figma mock result/timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,SA360_DB,no,proposed,high,high,"Attribution upsert is historical/DB action, not contact tag."
SA360::M1::CONTACT_INDEXED,Contact Indexed,tag,M1,Figma mock timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,SA360_DB,no,proposed,high,high,"InboundContactIndex row existence is source of truth."
SA360::M1::LEAD_CREATED,Lead Created,tag,M1,Figma mock webhook/timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,repo,no,proposed,high,high,"lead_created is lifecycle event, not current state tag."
SA360::M2::APPOINTMENT_SET,Appointment Set,tag,M2,Figma mock webhook/timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,GHL,no,proposed,high,high,"Use lifecycle_stage/appointment_status fields plus lifecycle event."
SA360::M2::SALE_LOGGED,Sale Logged,tag,M2,Figma mock webhook/timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,repo,no,proposed,high,high,"sale_logged is lifecycle event; policy_status/opportunity data should own current state."
SA360::VOICE::DNC_REQUESTED,DNC Requested,tag,Voice,outbound result outcome enum,apps/api/src/schemas/synthflow-outbound-result.schema.ts,needs_review,GHL,maybe,current,medium,medium,"If GHL workflow needs a trigger, tag can be minimal; current DNC state should be a field/native GHL DND state."
SA360::VOICE::WRONG_NUMBER,Wrong Number,tag,Voice,outbound result outcome enum,apps/api/src/schemas/synthflow-outbound-result.schema.ts,needs_review,GHL,maybe,current,medium,medium,"Potential trigger tag only; canonical current state should be controlled field/disposition."
SA360::VOICE::CALLBACK_REQUESTED,Callback Requested,tag,Voice,outbound result outcome enum,apps/api/src/schemas/synthflow-outbound-result.schema.ts,needs_review,GHL,maybe,current,medium,medium,"May be a workflow trigger; appointment/callback current truth needs field/calendar object."
SA360::VOICE::BOOKED,Booked,tag,Voice,outbound result outcome enum,apps/api/src/schemas/synthflow-outbound-result.schema.ts,do_not_create,GHL,no,current,high,high,"booking is already outcome plus appointment_status/calendar; do not tag as source of truth."
SA360::LAUNCH::BLUE_ENABLED,Blue Enabled,tag,Launch,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,Figma,no,proposed,medium,medium,"Feature flag should be DB/env config, not contact tag."
SA360::LAUNCH::GREEN_ENABLED,Green Enabled,tag,Launch,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,Figma,no,proposed,medium,medium,"Feature flag should be DB/env config, not contact tag."
SA360::VOICE::VOICE_ENABLED,Voice Enabled,tag,Voice,Figma mock client flags and admin flags page,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/flags/page.tsx,do_not_create,repo,no,proposed,medium,medium,"Feature flag should be env/DB config, not contact tag."
SA360::VOICE::CLOSEBOT_ENABLED,CloseBot Enabled,tag,Voice,Figma mock client flags,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,do_not_create,Figma,no,proposed,medium,medium,"Feature flag should be env/DB config, not contact tag."
SA360::SOURCE::FB_LEAD,FB Lead,tag,GHL,Figma mock raw payload tag,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,GHL,maybe,current,medium,medium,"Existing-style source tag may exist in GHL; attribution fields should remain canonical."
SA360::NICHE::FINAL_EXPENSE,Final Expense,tag,GHL,Figma mock raw payload tag,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,GHL,maybe,current,high,medium,"Looks like lead_type/niche_key field value; avoid using tag as primary classification."
