canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,method,path,purpose,auth,request_schema,response_shape,related_db_model,related_dashboard_page,notes
GET /health,API Health,api_route,Admin,health routes,apps/api/src/routes/health.ts,existing,repo,yes,current,low,low,GET,/health,"API liveness","none","none","{ ok service }","none","Settings health reference","Public health route."
GET /health/db,DB Health,api_route,Admin,health routes,apps/api/src/routes/health.ts,existing,repo,yes,current,low,low,GET,/health/db,"Postgres connectivity check","none","none","{ ok db }","Prisma/Postgres","Settings health reference","Runs SELECT 1."
GET /health/queue,Queue Health,api_route,Worker,health routes,apps/api/src/routes/health.ts,existing,repo,yes,current,low,low,GET,/health/queue,"Redis/BullMQ connectivity check","none","none","{ ok queue }","Redis queue","Settings health reference","Runs redis ping."
POST /webhooks/ghl/lifecycle-event,GHL Lifecycle Event Webhook,api_route,M1,webhook route,apps/api/src/routes/webhook.ts,existing,repo,yes,current,medium,medium,POST,/webhooks/ghl/lifecycle-event,"Receive normalized lifecycle payload and store/queue it","x-sa360-secret WEBHOOK_SECRET","lifecycleEventSchema","ok/error duplicate queued eventUuid status fields","LifecycleEvent LeadAttribution InboundContactIndex WebhookRequestLog","Webhook Monitor Command Center Event Timeline future","Primary lifecycle intake."
POST /webhooks/ghl/test,GHL Webhook Test,api_route,GHL,webhook route,apps/api/src/routes/webhook.ts,existing,repo,maybe,current,low,low,POST,/webhooks/ghl/test,"Simple webhook reachability response","none visible","none","{ ok message }","none","none","No secret check in route; review before production exposure."
GET /debug/test-event,Debug Lifecycle Test Event,api_route,M1,webhook route,apps/api/src/routes/webhook.ts,existing,repo,no,current,medium,medium,GET,/debug/test-event,"Inject debug lifecycle payload into lifecycle webhook","uses WEBHOOK_SECRET internally","none","debug response with injected payload and webhook response","LifecycleEvent WebhookRequestLog possibly","none","Debug route; not beta runtime workflow."
GET /debug/logtail-test,Debug Logtail Test,api_route,Admin,debug route README,apps/api/src/routes/debug-logtail.ts;README.md,existing,repo,no,current,low,medium,GET,/debug/logtail-test,"Emit test Logtail log when enabled","ENABLE_DEBUG_ROUTES=true","none","{ ok } or 404","none","none","Debug only."
POST /voice/synthflow/inbound-lookup,Synthflow Inbound Lookup,api_route,Voice,voice route and schema,apps/api/src/routes/voice.ts;apps/api/src/schemas/synthflow-inbound-lookup.schema.ts,existing,repo,yes,current,medium,medium,POST,/voice/synthflow/inbound-lookup,"Return known caller and contact variables to Synthflow","x-sa360-secret WEBHOOK_SECRET","synthflowInboundLookupBodySchema","call_inbound.override_model_id custom_variables metadata","SynthflowRequestLog InboundContactIndex","Synthflow Voice Command Center","Auth required; disabled when SYNTHFLOW_INBOUND_ENABLED false."
POST /voice/synthflow/outbound-context,Synthflow Outbound Context,api_route,Voice,voice route schema README,apps/api/src/routes/voice.ts;apps/api/src/schemas/synthflow-outbound-context.schema.ts;README.md,existing,repo,yes,current,medium,medium,POST,/voice/synthflow/outbound-context,"Return outbound lead context guardrails and calendar hints","x-sa360-secret WEBHOOK_SECRET","synthflowOutboundContextBodySchema","status custom_variables metadata","SynthflowRequestLog InboundContactIndex","Synthflow Voice outbound/context future","Defaults enabled; calendar config env-backed."
POST /voice/synthflow/outbound-result,Synthflow Outbound Result,api_route,Voice,voice route schema,apps/api/src/routes/voice.ts;apps/api/src/schemas/synthflow-outbound-result.schema.ts,existing,repo,yes,current,medium,medium,POST,/voice/synthflow/outbound-result,"Persist outbound call outcome observability","x-sa360-secret WEBHOOK_SECRET","synthflowOutboundResultBodySchema","{ ok id } or { ok false error }","SynthflowOutboundResultLog","Synthflow Voice outbound tab","Observability only; no lifecycle mutation."
GET /admin/v1/health,Admin Health,api_route,Admin,admin route,apps/api/src/routes/admin.ts,existing,repo,yes,current,low,low,GET,/admin/v1/health,"Admin API health/status","x-sa360-admin-key ADMIN_API_KEY","none","{ ok service env timestamp }","none","Settings/Command Center config warning","Admin key required."
