canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,api_endpoints_consumed,db_models_behind,uses_mock_data,missing_backend_support,notes
command_center,Command Center,ui_concept,COC,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/page.tsx,existing,admin_coc,yes,current,low,medium,"GET /admin/v1/coc/summary-metrics; GET /admin/v1/coc/webhook-requests","WebhookRequestLog SynthflowRequestLog",no,"Client alerts and open review items not backed by API","Core beta observability surface."
webhook_monitor,Webhook Monitor,ui_concept,COC,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/webhooks/page.tsx,existing,admin_coc,yes,current,low,low,"GET /admin/v1/coc/webhook-requests; GET /admin/v1/coc/webhook-requests/:id","WebhookRequestLog LifecycleEvent",no,"Replay/copy actions are future only if added","Backed by admin API."
synthflow_voice_requests,Synthflow Voice Requests,ui_concept,Voice,admin nav/page/table,apps/admin-coc/src/app/(dashboard)/synthflow/page.tsx;apps/admin-coc/src/components/dashboard/synthflow-monitor-table.tsx,existing,admin_coc,yes,current,low,low,"GET /admin/v1/coc/synthflow-requests; GET /admin/v1/coc/synthflow-requests/:id","SynthflowRequestLog",no,"Pagination/load more beyond first page may need UI work","Backed by admin API."
synthflow_voice_outbound,Synthflow Voice Outbound Results,ui_concept,Voice,admin page/table,apps/admin-coc/src/app/(dashboard)/synthflow/page.tsx;apps/admin-coc/src/components/dashboard/synthflow-outbound-results-table.tsx,existing,admin_coc,yes,current,low,low,"GET /admin/v1/coc/synthflow-outbound-results; GET /admin/v1/coc/synthflow-outbound-results/:id","SynthflowOutboundResultLog",no,"No lifecycle mutation or GHL writeback","Backed by admin API."
review_queue,Review Queue,ui_concept,Admin,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/review/page.tsx,proposed,admin_coc,maybe,proposed,medium,medium,"none","future ReviewItem; existing logs/attempts could feed it",no,"No ReviewItem Prisma model or admin API","UI stub mentions Validation failures unknown subaccount Meta errors duplicates."
event_timeline,Event Timeline,ui_concept,Admin,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/timeline/page.tsx,proposed,admin_coc,maybe,proposed,medium,medium,"none","LifecycleEvent LeadAttribution MetaDispatchAttempt Synthflow logs future join",no,"No per-contact timeline API","UI stub only."
clients_subaccounts,Clients & Subaccounts,ui_concept,Admin,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/clients/page.tsx,proposed,admin_coc,maybe,proposed,medium,medium,"none","ClientConfig future SubaccountLink",no,"No ClientConfig list/admin CRUD API; SubaccountLink model missing","Page says list view pending admin API."
client_detail,Client Detail,ui_concept,Admin,admin nav and page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/clients/detail/page.tsx,proposed,admin_coc,maybe,proposed,medium,medium,"none","ClientConfig future detail models",no,"No dynamic /clients/[clientAccountId] route or API","UI stub only."
feature_flags,Feature Flags,ui_concept,Admin,admin nav and flags page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/flags/page.tsx,proposed,admin_coc,maybe,proposed,medium,medium,"none","ClientConfig.metaSyncEnabled; env flags",no,"No DB FeatureFlag model or admin flag API","Shows env/mock flags only."
settings_env,Settings & Env,ui_concept,Admin,admin nav and settings page,apps/admin-coc/src/lib/nav.ts;apps/admin-coc/src/app/(dashboard)/settings/page.tsx,existing,admin_coc,yes,current,low,low,"none","none",no,"Could add live health calls later","Displays NEXT_PUBLIC_API_BASE_URL and health endpoint reference."
admin_api_config_warning,Admin API Configuration Warning,ui_concept,Admin,server helper and pages,apps/admin-coc/src/lib/admin-api/server.ts;apps/admin-coc/src/app/(dashboard)/page.tsx,existing,admin_coc,yes,current,low,low,"none","none",no,"none","Warns when NEXT_PUBLIC_API_BASE_URL or admin key missing."
environment_badge,Environment Badge,ui_concept,Admin,design brief/admin shell,docs/figma/sa360-coc-design-brief.md;apps/admin-coc/src/components/shell/dashboard-header.tsx,existing,admin_coc,maybe,current,low,low,"none","none",no,"none","Display-only from NEXT_PUBLIC_SA360_ENV."
recent_invalid_webhooks,Recent Invalid Webhooks,ui_concept,COC,command center components,apps/admin-coc/src/app/(dashboard)/page.tsx;apps/admin-coc/src/components/dashboard/recent-invalid-webhooks.tsx,existing,admin_coc,yes,current,low,low,"GET /admin/v1/coc/webhook-requests?processingStatus=validation_failed/unauthorized","WebhookRequestLog",no,"No operator actions/review item creation","Useful beta failure surface."
