canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,notes
SA360_MSG_M1_SMS_FIRST_RESPONSE,First Response SMS Copy,custom_value,M1,event docs/mock timeline,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,GHL,maybe,proposed,medium,medium,"Timeline references SMS template fe_intro_v3; live GHL custom values/templates inventory required before creation."
SA360_MSG_M2_SMS_APPOINTMENT_CONFIRM,Appointment Confirmation SMS Copy,custom_value,M2,workflow plan implied by appointment_set,packages/shared/src/types.ts;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,GHL,maybe,proposed,medium,medium,"Proposed naming only; verify if GHL already has appointment confirmation templates."
SA360_MSG_M2_SMS_APPOINTMENT_REMINDER,Appointment Reminder SMS Copy,custom_value,M2,workflow plan implied by appointment_status,packages/shared/src/types.ts,proposed,GHL,maybe,proposed,medium,medium,"Do not create until M2 workflow inventory is exported."
SA360_MSG_M2_VOICE_OUTBOUND_SCRIPT_GOAL,Outbound Voice Script Goal Copy,custom_value,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,needs_review,repo,maybe,current,medium,medium,"script_goal is generated by API; only create custom value if GHL/Synthflow prompt needs configurable copy."
SA360_MSG_VOICE_REVIEW_REQUIRED,Voice Review Required Copy,custom_value,Voice,Synthflow outbound guardrail response,apps/api/src/services/synthflow-outbound-context.service.ts,needs_review,repo,maybe,current,medium,medium,"REVIEW_REQUIRED appears as script_goal; avoid duplicating logic as copy."
SA360_MSG_VOICE_DO_NOT_BOOK_REASON,Do Not Book Reason Copy,custom_value,Voice,Synthflow outbound context variables,apps/api/src/services/synthflow-outbound-context.service.ts,needs_review,repo,maybe,current,medium,medium,"do_not_book_reason is a computed response value; copy/value creation requires prompt design review."
SA360_MSG_ADMIN_REVIEW_ITEM_CREATED,Review Item Created Copy,custom_value,Admin,Figma mock review.created,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,manual_plan,no,proposed,medium,medium,"ReviewItem model/API not implemented; do not create GHL copy yet."
SA360_MSG_META_INVALID_TOKEN_REVIEW,Meta Invalid Token Review Copy,custom_value,Meta,Figma mock review item,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,manual_plan,no,proposed,medium,medium,"Meta error handling is DB/worker responsibility first."
SA360_MSG_SYSTEM_WEBHOOK_INVALID_PAYLOAD,Webhook Invalid Payload Copy,custom_value,Admin,API validation responses,apps/api/src/routes/webhook.ts,do_not_create,repo,no,current,high,medium,"API response text is runtime behavior; not a GHL custom value."
SA360_MSG_SYSTEM_SYNTHFLOW_INVALID_PAYLOAD,Synthflow Invalid Payload Copy,custom_value,Voice,voice route responses,apps/api/src/routes/voice.ts,do_not_create,repo,no,current,high,medium,"API guardrail response owns this text."
SA360_CFG_SYNTHFLOW_DEFAULT_MODEL_ID,Synthflow Default Model ID,custom_value,Voice,Synthflow inbound response metadata,apps/api/src/services/synthflow-inbound-lookup.service.ts,needs_review,repo,maybe,current,medium,medium,"model_id comes from request/env mapping; use env/DB config unless GHL workflow must reference it."
SA360_CFG_SYNTHFLOW_OVERRIDE_MODEL_ID,Synthflow Override Model ID,custom_value,Voice,Synthflow inbound response,apps/api/src/services/synthflow-inbound-lookup.service.ts,needs_review,repo,maybe,current,medium,medium,"Response-controlled model override; do not create a GHL custom value without voice architecture review."
SA360_CFG_OUTBOUND_CALENDAR_MAP,Outbound Calendar Map,custom_value,Voice,README env config,README.md,do_not_create,repo,yes,current,high,high,"Current owner is SYNTHFLOW_OUTBOUND_CALENDAR_MAP_JSON env; GHL calendars are runtime objects, not a single custom value."
SA360_CFG_META_DATASET_ID,Meta Dataset ID Config,custom_value,Meta,ClientConfig and lifecycle routing fields,prisma/schema.prisma;packages/shared/src/types.ts,do_not_create,SA360_DB,yes,current,high,high,"ClientConfig/routing owns dataset IDs; do not store in GHL custom values until strict need is proven."
SA360_CFG_META_ACCESS_TOKEN,Meta Access Token Config,custom_value,Security,ClientConfig,prisma/schema.prisma,do_not_create,SA360_DB,yes,current,low,critical,"Secret; never create as GHL custom value."
SA360_CFG_ADMIN_API_KEY,Admin API Key Config,custom_value,Security,admin COC server,apps/admin-coc/src/lib/admin-api/server.ts,do_not_create,repo,yes,current,low,critical,"Secret; never create as GHL custom value."
SA360_AGENT_BLUE_NUMBER,Agent Blue Number,custom_value,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360_AGENT_CONFIGS; phone number value present and redacted; overlaps sa360_agent_blue_number field."
SA360_AGENT_GREEN_NUMBER,Agent Green Number,custom_value,M2,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360_AGENT_CONFIGS; phone number value present and redacted; overlaps sa360_agent_green_number field."
SA360_DEFAULT_AGENT_ID,Default Agent ID,custom_value,Admin,ghl_screenshot_inventory_2026_05_08,GHL screenshots,existing,GHL,maybe,current,yes,medium,"Folder: SA360_AGENT_CONFIG; default assignment config."
